"Farm product prices, crops and livestock 1"
"Frequency: Monthly"
"Table: 32-10-0077-01 (formerly CANSIM 002-0043)"
"Release date: 2026-03-10"
"Geography: Province or territory"
""
""

"Geography","Farm products 2","January 2000","February 2000","March 2000","April 2000","May 2000","June 2000","July 2000","August 2000","September 2000","October 2000","November 2000","December 2000","January 2001","February 2001","March 2001","April 2001","May 2001","June 2001","July 2001","August 2001","September 2001","October 2001","November 2001","December 2001","January 2002","February 2002","March 2002","April 2002","May 2002","June 2002","July 2002","August 2002","September 2002","October 2002","November 2002","December 2002","January 2003","February 2003","March 2003","April 2003","May 2003","June 2003","July 2003","August 2003","September 2003","October 2003","November 2003","December 2003","January 2004","February 2004","March 2004","April 2004","May 2004","June 2004","July 2004","August 2004","September 2004","October 2004","November 2004","December 2004","January 2005","February 2005","March 2005","April 2005","May 2005","June 2005","July 2005","August 2005","September 2005","October 2005","November 2005","December 2005","January 2006","February 2006","March 2006","April 2006","May 2006","June 2006","July 2006","August 2006","September 2006","October 2006","November 2006","December 2006","January 2007","February 2007","March 2007","April 2007","May 2007","June 2007","July 2007","August 2007","September 2007","October 2007","November 2007","December 2007","January 2008","February 2008","March 2008","April 2008","May 2008","June 2008","July 2008","August 2008","September 2008","October 2008","November 2008","December 2008","January 2009","February 2009","March 2009","April 2009","May 2009","June 2009","July 2009","August 2009","September 2009","October 2009","November 2009","December 2009","January 2010","February 2010","March 2010","April 2010","May 2010","June 2010","July 2010","August 2010","September 2010","October 2010","November 2010","December 2010","January 2011","February 2011","March 2011","April 2011","May 2011","June 2011","July 2011","August 2011","September 2011","October 2011","November 2011","December 2011","January 2012","February 2012","March 2012","April 2012","May 2012","June 2012","July 2012","August 2012","September 2012","October 2012","November 2012","December 2012","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
"Newfoundland and Labrador",,"Dollars per metric tonne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-board wheat (except durum wheat) (Terminated)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Oats","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Barley 3 4","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Soybeans","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Canola (including rapeseed)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,,"Dollars per hundredweight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cattle for slaughter 5","73.46","74.24","74.08","83.75","80.85","79.81","81.02","78.12","73.31","72.69","73.52","71.09","79.83","82.36","86.41","89.71","89.31","90.44","92.02","86.36","77.61","75.78","76.35","76.47","75.28","82.31","82.94","77.37","76.81","74.51","74.56","72.48","68.92","67.56","67.59","73.21","78.43","75.61","72.57","76.19","70.52","56.65","31.97","31.43","41.48","42.09","46.81","46.74","47.04","43.09","47.47","50.65","48.90","44.60","44.26","41.19","44.66","44.39","42.43","46.74","54.56","57.98","56.16","56.16","57.06","57.32","63.54","62.04","61.25","58.97","60.70","65.06","67.19","62.58","61.51","60.91","62.29","64.27","63.69","64.16","62.73","61.16","59.58","59.09","61.92","66.61","70.01","72.47","75.54","70.85","67.86","62.99","59.50","53.01","49.84","52.84","55.84","60.25","61.31","62.32","62.01","71.17","75.09","75.88","72.81","67.79","69.29","68.46","71.86","71.31","73.85","74.64","75.73","71.28","69.98","64.23","61.20","56.08","55.56","55.78","60.33","64.17","64.78","68.34","71.18","71.87","73.29","70.65","69.74","68.03","65.21","68.98","73.70","79.19","81.45","85.76","84.43","84.28","84.34","83.03","82.34","82.74","86.39","87.70","94.60","95.64","96.56","92.86","94.95","95.79","89.34","86.60","84.67","83.42","85.10","85.50","89.24","91.40","91.93","91.48","94.22","96.76","96.99","96.45","94.18","93.99","94.74","94.78","102.81","110.99","114.74","116.77","119.48","123.41","131.84","132.28","126.51","129.12","133.35","135.97","145.57","151.01","155.36","158.71","157.64","157.70","153.90","149.05","139.70","122.24","120.96","115.47","127.74","129.30","126.93","121.46","117.83","120.34","116.69","111.33","99.87","96.10","95.89","100.25","107.63","109.18","114.57","118.70","129.73","131.67","118.34","109.27","97.47","96.90","99.90","101.01","106.33","106.64","109.79","106.57","108.22","109.00","106.10","100.96","97.47","98.85","95.34","93.40","99.80","101.70","101.88","105.86","110.22","110.12","107.62","105.89","103.54","100.87","95.83","97.64","101.44","104.44","106.85","100.87","111.85","118.63","110.42","110.99","105.32","101.44","98.36","96.38","99.35","104.12","106.42","109.49","113.49","119.62","118.91","114.06","118.03","115.51","112.96","114.96","122.89","125.86","130.60","132.11","136.50","143.86","142.22","137.64","136.80","136.53","136.82","137.67","140.95","147.07","156.68","162.22","169.26","181.78","177.57","174.05","177.40","176.65","168.10","162.15","164.21","176.05","180.40","186.55","192.88","193.33","196.40","201.14","193.52","191.57","190.13","191.63","203.95","215.66","212.09","224.52","233.02","245.02","249.99","250.01","254.30","242.86","238.39","229.86","242.55"
,"Hogs 6","168.03","168.03","168.03","168.03","168.03","168.03","168.03","168.03","167.68","168.03","168.03","168.03","168.03","168.03","168.03","168.03","168.03","168.03","168.03","168.03","169.03","169.03","169.01","169.01","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","169.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","170.03","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","181.89","196.50","196.50","196.50","196.50","196.50","196.50","196.50","196.50","196.50","196.50","196.50","196.50","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","207.00","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Prince Edward Island",,"Dollars per metric tonne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
